1,399325
2,2113
3,3763
4,602
5,755
6,3980
7,915
8,0
9,0
10,1214
11,2975
12,11422
13,332
14,18851
15,6
16,63
17,338
18,0
19,5523
20,10
21,0
22,36
23,0
24,2
25,4722
26,715
27,3597
28,838
29,56
30,2918
31,27
32,5691
33,698
34,1119
35,1171
36,532
37,7
38,530
39,497
40,177
41,3035
42,484
43,228
44,168
45,1114
46,5
47,841
48,5
49,4
50,88
51,304
52,107
53,0
54,420
55,155
56,53
57,127
58,579
59,5
60,5965
61,2368
62,2926
63,1478
64,140
65,81
66,846
67,1200
68,868
69,658
70,566
71,1935
72,37
73,2408
74,132
75,6193
76,5749
77,1158
78,1385
79,37
80,6410
81,5301
82,4213
83,1319
84,91
85,3692
86,212
87,1448
88,8749
89,6710
90,865
91,1814
92,613
93,2235
94,95
95,4514
96,2989
97,1709
98,2724
99,1630
100,1298
101,3239
102,2492
103,4209
104,3638
105,648
106,1441
107,54
108,1151
109,1977
110,383
111,9279
112,18948
113,21
114,0
115,1450
116,1249
117,3485
118,2212
119,3800
120,574
121,14099
122,186
123,4662
124,2090
125,3538
126,5437
127,2992
128,338
129,2855
130,2982
131,30
132,6758
133,22489
134,298
135,2
136,1795
137,6203
138,23411
139,1997
140,2827
141,591
142,129
143,440
144,5267
145,2958
146,1397
147,1651
148,1914
149,3585
150,701
151,2487
152,1078
153,3531
154,6135
155,455
156,1374
157,3301
158,2489
159,2774
160,1911
161,5714
162,1797
163,226
164,3821
165,7166
166,5411
167,4679
168,1501
169,9023
170,4
171,1112
172,3530
173,4567
174,6589
175,2118
176,464
177,19
178,1329
179,932
180,6662
181,30218
182,2173
183,21
184,148
185,5232
186,11778
187,3155
188,9158
189,4475
190,940
191,27
192,268
193,7653
194,9437
195,5835
196,5683
197,1526
198,59
199,5764
200,4023
201,2134
202,2318
203,6694
204,2095
205,439
206,318
207,4291
208,2531
209,6132
210,16616
211,7764
212,201
213,2178
214,5441
215,5724
216,1366
217,2260
218,2606
219,849
220,1308
221,3958
222,4394
223,6757
224,5545
225,2092
226,1368
227,725
228,3905
229,2491
230,4566
231,3133
232,2445
233,1479
234,1917
235,8294
236,13826
237,4121
238,6455
239,5911
240,685
241,0
242,0
243,325
244,2485
245,4872
246,1874
247,246
248,5061
249,2557
250,10058
251,6355
252,4755
253,5355
254,45
255,1731
256,7514
257,11505
258,6428
259,3246
260,1533
261,158
262,1295
263,5762
264,4215
265,2701
266,2706
267,5100
268,3
269,3723
270,1626
271,4222
272,6882
273,4773
274,747
275,1208
276,3233
277,4234
278,8055
279,1812
280,4286
281,7084
282,21
283,3032
284,12665
285,11330
286,6094
287,7120
288,1656
289,6
290,7678
291,7138
292,10204
293,5498
294,24777
295,4440
296,1321
297,309
298,7598
299,16641
300,23812
301,8064
302,371
303,21
304,101
305,1098
306,7704
307,5069
308,19417
309,5340
310,122
311,2554
312,8844
313,3835
314,6022
315,4346
316,767
317,65
318,5162
319,7329
320,12975
321,10039
322,6415
323,4578
324,211
325,5151
326,5479
327,11739
328,13015
329,7860
330,979
331,50
332,6466
333,8676
334,18601
335,10016
336,5441
337,462
338,673
339,4357
340,6246
341,6062
342,6125
343,5907
344,2174
345,402
346,1814
347,6294
348,9778
349,9180
350,7937
351,1224
352,316
353,3767
354,4874
355,5408
356,4250
357,7671
358,3516
359,63
360,3710
361,3231
362,12889
363,9854
364,6887
365,49
366,572
367,815
368,88
369,12888
370,5320
371,5190
372,3223
373,23
374,5329
375,9812
376,7502
377,9328
378,4127
379,6948
380,377
381,1354
382,9727
383,10854
384,654
385,805
386,58
387,28
388,4905
389,14545
390,2916
391,11727
392,9201
393,8927
394,223
395,4006
396,3680
397,16720
398,3530
399,12285
400,452
401,326
402,3266
403,9732
404,3253
405,29601
406,3491
407,8967
408,15
409,752
410,3625
411,6987
412,12948
413,4278
414,30
415,42
416,8
417,544
418,4885
419,4746
420,34224
421,297
422,13
423,0
424,3602
425,10492
426,3559
427,3579
428,542
429,217
430,146061
431,4334
432,6003
433,9822
434,9497
435,1356
436,414
437,410
438,6743
439,4885
440,4062
441,7919
442,1253
443,334
